Ward,Accuracy,Average_Count
1.0,0.40217391304347827,4.423913043478261
2.0,0.021739130434782608,4.304347826086956
3.0,0.33695652173913043,3.7282608695652173
4.0,0.5869565217391305,5.9021739130434785
5.0,0.358695652173913,3.8260869565217392
6.0,0.18478260869565216,3.358695652173913
7.0,0.30434782608695654,3.032608695652174
8.0,0.358695652173913,2.9347826086956523
9.0,0.358695652173913,2.8369565217391304
10.0,0.32608695652173914,1.9021739130434783
11.0,0.32608695652173914,2.282608695652174
12.0,0.34782608695652173,1.5326086956521738
13.0,0.32608695652173914,1.5
14.0,0.2391304347826087,1.7717391304347827
15.0,0.15217391304347827,1.3695652173913044
16.0,0.31521739130434784,2.4130434782608696
17.0,0.30434782608695654,2.489130434782609
18.0,0.2717391304347826,2.467391304347826
19.0,0.29347826086956524,1.3695652173913044
20.0,0.42391304347826086,3.0
21.0,0.3695652173913043,3.847826086956522
22.0,0.34782608695652173,1.0543478260869565
23.0,0.30434782608695654,1.4673913043478262
24.0,0.358695652173913,2.489130434782609
25.0,0.3695652173913043,4.315217391304348
26.0,0.21739130434782608,2.2934782608695654
27.0,0.31521739130434784,11.16304347826087
28.0,0.4673913043478261,4.510869565217392
29.0,0.31521739130434784,2.532608695652174
30.0,0.33695652173913043,1.5326086956521738
31.0,0.2826086956521739,1.826086956521739
32.0,0.2608695652173913,3.1956521739130435
33.0,0.2608695652173913,2.119565217391304
34.0,0.41304347826086957,2.7717391304347827
35.0,0.2608695652173913,1.7608695652173914
36.0,0.29347826086956524,1.7934782608695652
37.0,0.391304347826087,2.619565217391304
38.0,0.32608695652173914,1.7173913043478262
39.0,0.2391304347826087,2.4456521739130435
40.0,0.2826086956521739,2.2282608695652173
41.0,0.32608695652173914,2.7934782608695654
42.0,0.8695652173913043,15.206521739130435
43.0,0.30434782608695654,3.4565217391304346
44.0,0.31521739130434784,4.130434782608695
45.0,0.25,2.2934782608695654
46.0,0.2717391304347826,3.2717391304347827
47.0,0.3804347826086957,2.847826086956522
48.0,0.358695652173913,2.989130434782609
49.0,0.34782608695652173,3.032608695652174
50.0,0.2826086956521739,2.152173913043478
