Ward,Accuracy,Average_Count
1.0,0.2717391304347826,4.423913043478261
2.0,0.10869565217391304,4.304347826086956
3.0,0.2717391304347826,3.7282608695652173
4.0,0.20652173913043478,5.9021739130434785
5.0,0.2608695652173913,3.8260869565217392
6.0,0.15217391304347827,3.358695652173913
7.0,0.08695652173913043,3.032608695652174
8.0,0.30434782608695654,2.9347826086956523
9.0,0.2717391304347826,2.8369565217391304
10.0,0.31521739130434784,1.9021739130434783
11.0,0.2826086956521739,2.282608695652174
12.0,0.09782608695652174,1.5326086956521738
13.0,0.16304347826086957,1.5
14.0,0.25,1.7717391304347827
15.0,0.15217391304347827,1.3695652173913044
16.0,0.30434782608695654,2.4130434782608696
17.0,0.2391304347826087,2.489130434782609
18.0,0.22826086956521738,2.467391304347826
19.0,0.16304347826086957,1.3695652173913044
20.0,0.22826086956521738,3.0
21.0,0.2391304347826087,3.847826086956522
22.0,0.17391304347826086,1.0543478260869565
23.0,0.18478260869565216,1.4673913043478262
24.0,0.21739130434782608,2.489130434782609
25.0,0.358695652173913,4.315217391304348
26.0,0.2717391304347826,2.2934782608695654
27.0,0.391304347826087,11.16304347826087
28.0,0.25,4.510869565217392
29.0,0.20652173913043478,2.532608695652174
30.0,0.16304347826086957,1.5326086956521738
31.0,0.2391304347826087,1.826086956521739
32.0,0.10869565217391304,3.1956521739130435
33.0,0.17391304347826086,2.119565217391304
34.0,0.2826086956521739,2.7717391304347827
35.0,0.14130434782608695,1.7608695652173914
36.0,0.1956521739130435,1.7934782608695652
37.0,0.3804347826086957,2.619565217391304
38.0,0.25,1.7173913043478262
39.0,0.20652173913043478,2.4456521739130435
40.0,0.21739130434782608,2.2282608695652173
41.0,0.20652173913043478,2.7934782608695654
42.0,0.010869565217391304,15.206521739130435
43.0,0.32608695652173914,3.4565217391304346
44.0,0.07608695652173914,4.130434782608695
45.0,0.2391304347826087,2.2934782608695654
46.0,0.1956521739130435,3.2717391304347827
47.0,0.08695652173913043,2.847826086956522
48.0,0.34782608695652173,2.989130434782609
49.0,0.30434782608695654,3.032608695652174
50.0,0.25,2.152173913043478
