Ward,Accuracy,Average_Count
1.0,0.9456521739130435,0.05434782608695652
2.0,0.9021739130434783,0.09782608695652174
3.0,0.8369565217391305,0.18478260869565216
4.0,0.7608695652173914,0.2717391304347826
5.0,0.9456521739130435,0.05434782608695652
6.0,0.782608695652174,0.2391304347826087
7.0,0.9021739130434783,0.09782608695652174
8.0,0.8913043478260869,0.10869565217391304
9.0,0.8913043478260869,0.10869565217391304
10.0,0.9130434782608695,0.08695652173913043
11.0,0.9021739130434783,0.09782608695652174
12.0,0.9565217391304348,0.05434782608695652
13.0,0.9565217391304348,0.043478260869565216
14.0,0.9239130434782609,0.07608695652173914
15.0,0.9239130434782609,0.07608695652173914
16.0,0.8043478260869565,0.22826086956521738
17.0,0.6956521739130435,0.32608695652173914
18.0,0.8913043478260869,0.11956521739130435
19.0,0.9347826086956522,0.08695652173913043
20.0,0.8586956521739131,0.14130434782608695
21.0,0.8043478260869565,0.20652173913043478
22.0,0.9456521739130435,0.05434782608695652
23.0,0.967391304347826,0.03260869565217391
24.0,0.5543478260869565,1.9565217391304348
25.0,0.7934782608695652,0.25
26.0,0.8913043478260869,0.10869565217391304
27.0,0.2826086956521739,1.076086956521739
28.0,0.44565217391304346,1.6630434782608696
29.0,0.75,0.29347826086956524
30.0,0.9130434782608695,0.08695652173913043
31.0,0.9239130434782609,0.09782608695652174
32.0,0.9565217391304348,0.043478260869565216
33.0,0.9130434782608695,0.08695652173913043
34.0,0.8695652173913043,0.13043478260869565
35.0,0.8804347826086957,0.13043478260869565
36.0,0.9239130434782609,0.07608695652173914
37.0,0.4782608695652174,0.6630434782608695
38.0,0.9782608695652174,0.021739130434782608
39.0,0.8695652173913043,0.14130434782608695
40.0,0.9130434782608695,0.10869565217391304
41.0,0.6630434782608695,0.5652173913043478
42.0,0.7391304347826086,0.30434782608695654
43.0,0.9891304347826086,0.010869565217391304
44.0,0.9239130434782609,0.07608695652173914
45.0,0.8913043478260869,0.10869565217391304
46.0,0.9347826086956522,0.06521739130434782
47.0,0.967391304347826,0.03260869565217391
48.0,0.9565217391304348,0.043478260869565216
49.0,0.8369565217391305,0.16304347826086957
50.0,0.9456521739130435,0.06521739130434782
