Ward,Accuracy,Average_Count
1.0,0.30434782608695654,0.8478260869565217
2.0,0.32608695652173914,0.532608695652174
3.0,0.15217391304347827,1.923913043478261
4.0,0.1956521739130435,1.7934782608695652
5.0,0.31521739130434784,1.5326086956521738
6.0,0.41304347826086957,2.1956521739130435
7.0,0.3695652173913043,1.8804347826086956
8.0,0.4891304347826087,2.0434782608695654
9.0,0.22826086956521738,1.923913043478261
10.0,0.29347826086956524,1.2934782608695652
11.0,0.1956521739130435,0.6195652173913043
12.0,0.42391304347826086,0.8478260869565217
13.0,0.43478260869565216,0.5108695652173914
14.0,0.3804347826086957,1.0434782608695652
15.0,0.3695652173913043,0.9021739130434783
16.0,0.14130434782608695,1.684782608695652
17.0,0.20652173913043478,1.923913043478261
18.0,0.3695652173913043,0.7717391304347826
19.0,0.6630434782608695,0.358695652173913
20.0,0.4782608695652174,2.1847826086956523
21.0,0.40217391304347827,1.7826086956521738
22.0,0.32608695652173914,0.5978260869565217
23.0,0.25,0.5869565217391305
24.0,0.11956521739130435,2.130434782608696
25.0,0.25,1.2826086956521738
26.0,0.3695652173913043,0.8152173913043478
27.0,0.20652173913043478,2.282608695652174
28.0,0.21739130434782608,2.5652173913043477
29.0,0.29347826086956524,1.2391304347826086
30.0,0.6086956521739131,0.532608695652174
31.0,0.5108695652173914,0.6630434782608695
32.0,0.3695652173913043,0.31521739130434784
33.0,0.16304347826086957,0.6195652173913043
34.0,0.5108695652173914,1.641304347826087
35.0,0.5217391304347826,0.5
36.0,0.43478260869565216,0.6086956521739131
37.0,0.42391304347826086,1.4673913043478262
38.0,0.05434782608695652,0.41304347826086957
39.0,0.5869565217391305,0.532608695652174
40.0,0.32608695652173914,0.7065217391304348
41.0,0.3695652173913043,0.6195652173913043
42.0,0.3695652173913043,1.6304347826086956
43.0,0.6413043478260869,0.21739130434782608
44.0,0.10869565217391304,0.4891304347826087
45.0,0.5760869565217391,0.5978260869565217
46.0,0.5,0.6630434782608695
47.0,0.4673913043478261,0.44565217391304346
48.0,0.2391304347826087,0.7608695652173914
49.0,0.391304347826087,0.8913043478260869
50.0,0.22826086956521738,0.6956521739130435
