Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,model_type,dropout,num_layer,dataset
0.5729670524597168,0.8297988176345825,0.0603715181350708,0.7068358063697815,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,RNN,0.2,1,ASSAULT
0.5679121017456055,0.837411642074585,0.04411764815449715,0.6955602765083313,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,RNN,0.2,2,ASSAULT
0.5490109920501709,0.7547580003738403,0.12616099417209625,0.667371392250061,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,LSTM,0.2,1,ASSAULT
0.5338461399078369,0.7199565172195435,0.198142409324646,0.5983086824417114,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,LSTM,0.2,2,ASSAULT
0.5668131709098816,0.7977161407470703,0.09752321988344193,0.6948555111885071,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,GRU,0.2,1,ASSAULT
0.5703296661376953,0.8096791505813599,0.05495356023311615,0.7293868660926819,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,GRU,0.2,2,ASSAULT
0.567472517490387,0.8297988176345825,0.09133126586675644,0.6610289216041565,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.99,RNN,0.2,1,ASSAULT
0.5727472305297852,0.8297988176345825,0.0495356023311615,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.99,RNN,0.2,2,ASSAULT
0.5571428537368774,0.7754214406013489,0.09287925809621811,0.6969696879386902,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.99,LSTM,0.2,1,ASSAULT
0.5362637639045715,0.6856987476348877,0.2631579041481018,0.5912614464759827,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.99,LSTM,0.2,2,ASSAULT
0.5718681216239929,0.8433931469917297,0.027089783921837807,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.99,GRU,0.2,1,ASSAULT
0.5723077058792114,0.8287112712860107,0.0495356023311615,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.99,GRU,0.2,2,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.999,RNN,0.2,1,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.999,RNN,0.2,2,ASSAULT
0.5727472305297852,0.8297988176345825,0.0495356023311615,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.999,LSTM,0.2,1,ASSAULT
0.5727472305297852,0.8297988176345825,0.0495356023311615,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.999,LSTM,0.2,2,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.999,GRU,0.2,1,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.999,GRU,0.2,2,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.99,RNN,0.2,1,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.99,RNN,0.2,2,ASSAULT
0.5727472305297852,0.8297988176345825,0.0495356023311615,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.99,LSTM,0.2,1,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.99,LSTM,0.2,2,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.99,GRU,0.2,1,ASSAULT
0.5720878839492798,0.8444806933403015,0.02631578966975212,0.7159971594810486,,,,,,,,4,False,0.001,0.0005,0.99,Focal,True,0.99,GRU,0.2,2,ASSAULT
0.3754347860813141,0.25678497552871704,0.4735831022262573,0.14669926464557648,0.28586724400520325,0.7876802086830139,0.0,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,RNN,0.2,1,BATTERY
0.3636956512928009,0.3405483365058899,0.37764349579811096,0.16344916820526123,0.36920222640037537,0.5688559412956238,0.0,,,,,4,False,0.001,0.0005,0.9,Focal,True,0.999,RNN,0.2,2,BATTERY
