Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,dataset
0.5672527551651001,0.8841761946678162,0.02244582027196884,0.6525722146034241,,,,,,,,4,True,0.0001,0.001,0.99,Focal,True,0.999,ASSAULT
0.5671738982200623,0.8680967688560486,0.02850712649524212,0.6217471957206726,,,,,,,,4,True,0.0001,0.001,0.99,Focal,True,0.995,ASSAULT
0.5689130425453186,0.870378851890564,0.03000750206410885,0.6226765513420105,,,,,,,,4,True,0.0001,0.001,0.99,Focal,True,0.99,ASSAULT
0.5671738982200623,0.884984016418457,0.0,0.6226765513420105,,,,,,,,4,True,0.0001,0.05,0.99,Focal,True,0.999,ASSAULT
0.5671738982200623,0.8854404091835022,0.0,0.6217471957206726,,,,,,,,4,True,0.0001,0.05,0.99,Focal,True,0.995,ASSAULT
0.5680434703826904,0.8872660994529724,0.0,0.6217471957206726,,,,,,,,4,True,0.0001,0.05,0.99,Focal,True,0.99,ASSAULT
0.5680434703826904,0.890004575252533,0.009002250619232655,0.6050186157226562,,,,,,,,8,True,0.001,0.0005,0.9,Focal,True,0.999,ASSAULT
0.5689130425453186,0.8890917301177979,0.004501125309616327,0.6161710023880005,,,,,,,,8,True,0.001,0.0005,0.9,Focal,True,0.995,ASSAULT
0.5676087141036987,0.8854404091835022,0.0022505626548081636,0.6208178400993347,,,,,,,,8,True,0.001,0.0005,0.9,Focal,True,0.99,ASSAULT
0.5678260922431946,0.8858968615531921,0.005251312628388405,0.6171003580093384,,,,,,,,8,True,0.001,0.001,0.9,Focal,True,0.999,ASSAULT
0.5680434703826904,0.890004575252533,0.003750937758013606,0.6115241646766663,,,,,,,,8,True,0.001,0.001,0.9,Focal,True,0.995,ASSAULT
0.5654347538948059,0.8872660994529724,0.004501125309616327,0.6050186157226562,,,,,,,,8,True,0.001,0.001,0.9,Focal,True,0.99,ASSAULT
0.5634782314300537,0.894568681716919,0.0,0.5873606204986572,,,,,,,,8,True,0.001,0.05,0.9,Focal,True,0.999,ASSAULT
0.5667391419410706,0.895481526851654,0.0,0.5994423627853394,,,,,,,,8,True,0.001,0.05,0.9,Focal,True,0.995,ASSAULT
0.5586956739425659,0.9082610607147217,0.0022505626548081636,0.5362453460693359,,,,,,,,8,True,0.001,0.05,0.9,Focal,True,0.99,ASSAULT
0.570652186870575,0.8731173276901245,0.03525881469249725,0.6180297136306763,,,,,,,,8,True,0.001,0.0005,0.95,Focal,True,0.999,ASSAULT
0.5661538243293762,0.8781946897506714,0.02631578966975212,0.6532769799232483,,,,,,,,8,True,0.001,0.0005,0.95,Focal,True,0.995,ASSAULT
0.5719565153121948,0.8722044825553894,0.032258063554763794,0.6291821599006653,,,,,,,,8,True,0.001,0.0005,0.95,Focal,True,0.99,ASSAULT
0.5708695650100708,0.8726608753204346,0.032258063554763794,0.6236059665679932,,,,,,,,8,True,0.001,0.001,0.95,Focal,True,0.999,ASSAULT
0.5671738982200623,0.8694660067558289,0.03450862690806389,0.6115241646766663,,,,,,,,8,True,0.001,0.001,0.95,Focal,True,0.995,ASSAULT
0.5680434703826904,0.8717480897903442,0.03150787577033043,0.6143122911453247,,,,,,,,8,True,0.001,0.001,0.95,Focal,True,0.99,ASSAULT
0.5682608485221863,0.8854404091835022,0.0,0.6263940334320068,,,,,,,,8,True,0.001,0.05,0.95,Focal,True,0.999,ASSAULT
0.5669565200805664,0.8886353373527527,0.0,0.6143122911453247,,,,,,,,8,True,0.001,0.05,0.95,Focal,True,0.995,ASSAULT
0.5669565200805664,0.8881788849830627,0.0,0.6152416467666626,,,,,,,,8,True,0.001,0.05,0.95,Focal,True,0.99,ASSAULT
0.5784782767295837,0.8466453552246094,0.06376594305038452,0.6700743436813354,,,,,,,,8,True,0.001,0.0005,0.99,Focal,True,0.999,ASSAULT
0.5793478488922119,0.8585121035575867,0.06226556748151779,0.6514869928359985,,,,,,,,8,True,0.001,0.0005,0.99,Focal,True,0.995,ASSAULT
0.5778260827064514,0.8493838310241699,0.06226556748151779,0.6635687947273254,,,,,,,,8,True,0.001,0.0005,0.99,Focal,True,0.99,ASSAULT
0.5791304111480713,0.854860782623291,0.05176294222474098,0.6710036993026733,,,,,,,,8,True,0.001,0.001,0.99,Focal,True,0.999,ASSAULT
0.5802174210548401,0.8571428656578064,0.05251313000917435,0.6700743436813354,,,,,,,,8,True,0.001,0.001,0.99,Focal,True,0.995,ASSAULT
0.5786956548690796,0.855317234992981,0.06451612710952759,0.6524163484573364,,,,,,,,8,True,0.001,0.001,0.99,Focal,True,0.99,ASSAULT
0.5656521916389465,0.8763121962547302,0.011252813041210175,0.6198884844779968,,,,,,,,8,True,0.001,0.05,0.99,Focal,True,0.999,ASSAULT
0.5682608485221863,0.8758557438850403,0.013503375463187695,0.6291821599006653,,,,,,,,8,True,0.001,0.05,0.99,Focal,True,0.995,ASSAULT
0.5665217638015747,0.8763121962547302,0.00975243840366602,0.625464677810669,,,,,,,,8,True,0.001,0.05,0.99,Focal,True,0.99,ASSAULT
